Date,VWCE
2003-09,10000
2003-10,10629.985121795247
2003-11,10451.405579274318
2003-12,10537.634508260662
2004-01,10942.86740804975
2004-02,11125.435488900608
2004-03,11242.952192591503
2004-04,11226.116475112744
2004-05,11077.98919658242
2004-06,11325.643653772802
2004-07,11076.639581799405
2004-08,11086.293376488351
2004-09,11048.55162175265
2004-10,11025.411911717652
2004-11,11142.466224957974
2004-12,11293.01710402291
2005-01,11553.250021084103
2005-02,11753.85696005792
2005-03,11752.832954930454
2005-04,11500.486086072226
2005-05,12333.229478839525
2005-06,12719.158349930429
2005-07,13198.529436997016
2005-08,13177.129169078724
2005-09,13736.372118194786
2005-10,13398.913994455937
2005-11,14178.69827615407
2005-12,14492.013054788917
2006-01,14808.384174238581
2006-02,15098.905577536389
2006-03,15133.648836468663
2006-04,15089.17670419291
2006-05,14130.239165837495
2006-06,14310.184793540591
2006-07,14362.98235756544
2006-08,14642.126478303171
2006-09,15045.548023892736
2006-10,15559.750007139353
2006-11,15392.213080018806
2006-12,15781.309599275399
2007-01,16195.101571488822
2007-02,15788.19823998906
2007-03,15975.966047021875
2007-04,16345.024460299754
2007-05,17040.44824076541
2007-06,16931.509279906335
2007-07,16433.3350953383
2007-08,16389.927842707475
2007-09,16688.113160116587
2007-10,17037.03231835321
2007-11,15972.490330223929
2007-12,15826.354265765238
2008-01,14387.4310950278
2008-02,14136.07636565415
2008-03,13360.139169708413
2008-04,14349.901050685487
2008-05,14595.108305775913
2008-06,13142.486304584463
2008-07,12957.242908815288
2008-08,13423.495858676943
2008-09,12126.883162596027
2008-10,10885.328204269774
2008-11,10199.070827283162
2008-12,9674.939218657766
2009-01,9588.825656222745
2009-02,8774.071168565415
2009-03,9040.173545885342
2009-04,10152.32558530409
2009-05,10524.193313902828
2009-06,10439.97204340705
2009-07,11362.023193943516
2009-08,11669.527869191299
2009-09,11893.83390394125
2009-10,11581.900772813058
2009-11,11873.813179404886
2009-12,12631.670805817968
2010-01,12467.408700549066
2010-02,12979.286100269554
2010-03,13916.06486989652
2010-04,14107.604703619289
2010-05,13798.311254532277
2010-06,13430.644358350586
2010-07,13678.114992003399
2010-08,13557.826597852303
2010-09,13813.528070837894
2010-10,14084.698347352145
2010-11,14654.917427574232
2010-12,15309.999087749724
2011-01,15165.066785651963
2011-02,15429.672279799137
2011-03,15020.338939675157
2011-04,14945.160524300898
2011-05,15096.633087903103
2011-06,14793.020600299282
2011-07,14738.65017334514
2011-08,13474.528049721637
2011-09,13042.396153697815
2011-10,13926.973875130296
2011-11,14078.121686711067
2011-12,14556.975872078576
2012-01,15148.804936643259
2012-02,15593.409207201432
2012-03,15782.481425290496
2012-04,15763.91008086028
2012-05,15283.483441682134
2012-06,15799.083791543433
2012-07,16415.417165722858
2012-08,16331.5414875192
2012-09,16435.46285862409
2012-10,16256.846080188598
2012-11,16470.991453681363
2012-12,16593.326959429083
2013-01,16897.352478579498
2013-02,17424.43623223297
2013-03,18174.344083456283
2013-04,18315.605005662495
2013-05,18358.510654877122
2013-06,17720.26800863382
2013-07,18287.37420831029
2013-08,17957.698386477405
2013-09,18510.423413865046
2013-10,19057.381165789444
2013-11,19363.66129594533
2013-12,19434.595704610652
2014-01,19034.181409356843
2014-02,19501.076286590356
2014-03,19636.740663076456
2014-04,19726.790643950433
2014-05,20509.717428811433
2014-06,20822.015572322518
2014-07,20997.193497198787
2014-08,21766.883503718553
2014-09,22076.06197698438
2014-10,22327.038526928984
2014-11,22770.302385544244
2014-12,22959.035248311076
